,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lorengau,100,PG,1608058018,79,-2.02,147.27,80.67,2.68
1,New Norfolk,99,AU,1608058019,66,-42.78,147.06,55.0,1.99
2,Santa Cruz de la Sierra,75,BO,1608057888,78,-17.8,-63.17,78.8,18.34
3,Nanortalik,0,GL,1608058022,87,60.14,-45.24,26.96,4.43
4,Acapulco de Juárez,75,MX,1608057745,58,16.86,-99.89,84.2,6.93
5,Khatanga,89,RU,1608058024,84,71.97,102.5,-33.88,1.05
6,El Espinal,80,MX,1608058026,47,16.33,-94.07,86.25,7.56
7,Mombetsu,95,JP,1608058027,65,44.35,143.35,23.0,13.0
8,Hermanus,0,ZA,1608058028,76,-34.42,19.23,61.0,7.72
9,Saskylakh,8,RU,1608058030,83,71.92,114.08,-29.96,5.23
10,Puerto Ayora,75,EC,1608058031,65,-0.74,-90.35,78.8,9.1
11,La Ferté-Bernard,0,FR,1608058032,100,48.19,0.65,46.4,3.36
12,Sotnikovo,93,RU,1608058034,75,51.88,107.48,-14.8,4.0
13,George Town,20,MY,1608057827,94,5.41,100.34,77.0,3.36
14,Eureka,100,US,1608058036,93,40.8,-124.16,50.0,4.0
15,Lebu,0,CL,1608058037,59,-37.62,-73.65,56.53,23.44
16,Kaitangata,70,NZ,1608058039,69,-46.28,169.85,62.01,3.0
17,Adrar,0,MR,1608058040,25,20.5,-10.07,66.65,3.15
18,Arraial do Cabo,0,BR,1608058041,62,-22.97,-42.03,87.8,12.75
19,Yarkovo,100,RU,1608058042,96,57.4,67.08,17.06,7.76
20,Iqaluit,90,CA,1608058044,73,63.75,-68.51,19.4,11.41
21,Kavieng,100,PG,1608058045,71,-2.57,150.8,82.81,3.6
22,Madimba,20,TZ,1608058046,78,-10.4,40.33,80.6,11.41
23,Saint-Joseph,51,RE,1608058047,94,-21.37,55.62,75.2,2.24
24,Hithadhoo,91,MV,1608058049,72,-0.6,73.08,81.59,10.04
25,Chernyshevskiy,100,RU,1608058050,92,63.01,112.47,-11.13,3.11
26,Kiryat Gat,89,IL,1608058051,50,31.61,34.76,62.01,1.01
27,Abū Zabad,0,SD,1608058053,17,12.35,29.25,74.41,11.52
28,Poum,0,NC,1608058054,72,-20.23,164.02,78.78,11.9
29,Mahébourg,75,MU,1608058055,94,-20.41,57.7,77.0,13.87
30,Mar del Plata,20,AR,1608057763,31,-38.0,-57.56,64.4,17.22
31,Nikolskoye,90,RU,1608058057,92,59.7,30.79,30.2,4.47
32,Pevek,100,RU,1608058059,93,69.7,170.31,14.76,12.33
33,Sitka,90,US,1608058060,56,57.05,-135.33,44.6,17.22
34,Jalu,4,LY,1608058061,64,29.03,21.55,57.11,7.92
35,Bluff,52,NZ,1608058062,59,-46.6,168.33,62.01,8.01
36,Zhezkazgan,0,KZ,1608058064,88,47.8,67.71,0.72,4.7
37,Chimoré,72,BO,1608058065,61,-16.98,-65.13,84.9,3.49
38,‘Ewa Beach,1,US,1608058066,83,21.32,-158.01,73.4,3.36
39,Albany,59,US,1608058068,34,42.6,-73.97,33.01,5.01
40,Oussouye,0,SN,1608058069,65,12.48,-16.55,84.2,4.7
41,Isangel,100,VU,1608058070,78,-19.55,169.27,77.94,19.46
42,Vaini,75,TO,1608058071,100,-21.2,-175.2,73.4,20.8
43,Qaanaaq,0,GL,1608058072,64,77.48,-69.36,-2.06,8.03
44,Oyo,77,NG,1608058073,59,7.85,3.93,83.26,9.06
45,Jamestown,90,US,1608057850,58,42.1,-79.24,28.0,8.05
